t,rj0,rj1,rj2,rj3,rj4,rj5,rj6
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0200,0.000000,-0.000090,0.000000,-0.000181,0.000000,0.000000,0.000000
0.0400,0.000000,-0.000695,0.000000,-0.001390,0.000000,0.000000,0.000000
0.0600,0.000000,-0.002255,0.000000,-0.004510,0.000000,0.000000,0.000000
0.0800,0.000000,-0.005136,0.000000,-0.010272,0.000000,0.000000,0.000000
0.1000,0.000000,-0.009631,0.000000,-0.019263,0.000000,0.000000,0.000000
0.1200,0.000000,-0.015967,0.000000,-0.031934,0.000000,0.000000,0.000000
0.1400,0.000000,-0.024306,0.000000,-0.048612,0.000000,0.000000,0.000000
0.1600,0.000000,-0.034752,0.000000,-0.069504,0.000000,0.000000,0.000000
0.1800,0.000000,-0.047354,0.000000,-0.094707,0.000000,0.000000,0.000000
0.2000,0.000000,-0.062109,0.000000,-0.124219,0.000000,0.000000,0.000000
0.2200,0.000000,-0.078971,0.000000,-0.157942,0.000000,0.000000,0.000000
0.2400,0.000000,-0.097848,0.000000,-0.195696,0.000000,0.000000,0.000000
0.2600,0.000000,-0.118612,0.000000,-0.237225,0.000000,0.000000,0.000000
0.2800,0.000000,-0.141102,0.000000,-0.282203,0.000000,0.000000,0.000000
0.3000,0.000000,-0.165125,0.000000,-0.330249,0.000000,0.000000,0.000000
0.3200,0.000000,-0.190464,0.000000,-0.380928,0.000000,0.000000,0.000000
0.3400,0.000000,-0.216882,0.000000,-0.433764,0.000000,0.000000,0.000000
0.3600,0.000000,-0.244124,0.000000,-0.488248,0.000000,0.000000,0.000000
0.3800,0.000000,-0.271922,0.000000,-0.543844,0.000000,0.000000,0.000000
0.4000,0.000000,-0.300000,0.000000,-0.600000,0.000000,0.000000,0.000000
0.4200,0.000000,-0.328078,0.000000,-0.656156,0.000000,0.000000,0.000000
0.4400,0.000000,-0.355876,0.000000,-0.711752,0.000000,0.000000,0.000000
0.4600,0.000000,-0.383118,0.000000,-0.766236,0.000000,0.000000,0.000000
0.4800,0.000000,-0.409536,0.000000,-0.819072,0.000000,0.000000,0.000000
0.5000,0.000000,-0.434875,0.000000,-0.869751,0.000000,0.000000,0.000000
0.5200,0.000000,-0.458898,0.000000,-0.917797,0.000000,0.000000,0.000000
0.5400,0.000000,-0.481388,0.000000,-0.962775,0.000000,0.000000,0.000000
0.5600,0.000000,-0.502152,0.000000,-1.004304,0.000000,0.000000,0.000000
0.5800,0.000000,-0.521029,0.000000,-1.042058,0.000000,0.000000,0.000000
0.6000,0.000000,-0.537891,0.000000,-1.075781,0.000000,0.000000,0.000000
0.6200,0.000000,-0.552646,0.000000,-1.105293,0.000000,0.000000,0.000000
0.6400,0.000000,-0.565248,0.000000,-1.130496,0.000000,0.000000,0.000000
0.6600,0.000000,-0.575694,0.000000,-1.151388,0.000000,0.000000,0.000000
0.6800,0.000000,-0.584033,0.000000,-1.168066,0.000000,0.000000,0.000000
0.7000,0.000000,-0.590369,0.000000,-1.180737,0.000000,0.000000,0.000000
0.7200,0.000000,-0.594864,0.000000,-1.189728,0.000000,0.000000,0.000000
0.7400,0.000000,-0.597745,0.000000,-1.195490,0.000000,0.000000,0.000000
0.7600,0.000000,-0.599305,0.000000,-1.198610,0.000000,0.000000,0.000000
0.7800,0.000000,-0.599910,0.000000,-1.199819,0.000000,0.000000,0.000000
0.8000,0.000000,-0.600000,0.000000,-1.200000,0.000000,0.000000,0.000000
0.8200,0.000000,-0.599296,0.000106,-1.199718,0.000000,0.000000,0.000000
0.8400,0.000000,-0.594651,0.000802,-1.197860,0.000000,0.000000,0.000000
0.8600,0.000000,-0.582880,0.002568,-1.193152,0.000000,0.000000,0.000000
0.8800,0.000000,-0.561568,0.005765,-1.184627,0.000000,0.000000,0.000000
0.9000,0.000000,-0.529012,0.010648,-1.171605,0.000000,0.000000,0.000000
0.9200,0.000000,-0.484160,0.017376,-1.153664,0.000000,0.000000,0.000000
0.9400,0.000000,-0.426552,0.026017,-1.130621,0.000000,0.000000,0.000000
0.9600,0.000000,-0.356263,0.036561,-1.102505,0.000000,0.000000,0.000000
0.9800,0.000000,-0.273840,0.048924,-1.069536,0.000000,0.000000,0.000000
1.0000,0.000000,-0.180247,0.062963,-1.032099,0.000000,0.000000,0.000000
1.0200,0.000000,-0.076802,0.078480,-0.990721,0.000000,0.000000,0.000000
1.0400,0.000000,0.034880,0.095232,-0.946048,0.000000,0.000000,0.000000
1.0600,0.000000,0.152947,0.112942,-0.898821,0.000000,0.000000,0.000000
